,IOC,Type,VT_Malicious,VT_Suspicious,Total Engines,Severity %,Microsoft Detection,OTX Pulses,In CIRCL Dataset,Country,State,City,Latitude,Longitude
60,concur-sap.one,domain,15,0,94,15.96,undetected,2,No,,,,0,0
61,f4f02429e8e1e966203d69610c31ae94ad4d34de10efd5edc4669ce067c4de4f,file,22,0,76,28.95,Trojan:PowerShell/Obfuse!rfn,2,No,,,,0,0
62,8246ba12e1ebfcdbaed80a7ba1ec65423f23b9b7820c0dfb07ee38baa83d6a20,file,21,0,76,27.63,Trojan:PowerShell/Powdow.HBT!MTB,2,No,,,,0,0
63,85.209.134.106,ip_address,7,1,94,7.45,undetected,2,No,United States,New Jersey,Secaucus,40.7895,-74.0565
64,86.104.72.16,ip_address,2,1,94,2.13,undetected,8,No,United States,New Jersey,Secaucus,40.7876,-74.06
65,meet-goo.net,domain,15,0,94,15.96,undetected,10,No,,,,0,0
66,45.89.53.243,ip_address,2,1,94,2.13,undetected,8,No,United States,New Jersey,Secaucus,40.7876,-74.06
67,b3a95ec7b1e7e73ba59d3e7005950784d2651fcd2b0e8f24fa665f89a7404a56,file,14,0,76,18.42,,3,No,,,,0,0
68,9953bbe13394bc6cd88fd0d13ceff771553e3a63ff84dc20960b67b4b9c9e48e,file,22,0,76,28.95,,5,No,,,,0,0
69,103.35.191.28,ip_address,10,1,94,10.64,undetected,13,No,United States,New Jersey,Secaucus,40.7876,-74.06
70,96dfb6337647d890875919334a8dfc1f8f6e887f4b9ff6afedfb3574c7b444a3,file,13,0,76,17.11,Trojan:Win32/Seheq!rfn,2,No,,,,0,0
71,ff6d88f53f2a08107c08729f2698f75cc759f3c423fe6e5b99b2c32d7c40f8a4,file,21,0,76,27.63,,2,No,,,,0,0
72,meet-gl.com,domain,16,0,94,17.02,undetected,10,No,,,,0,0
73,0c46fd6353f75a8dec81adca9f35e839bd8a7ac9490b947374e3c1e3b24e0f79,file,24,0,76,31.58,,2,No,,,,0,0
74,meet-go.day,domain,16,0,94,17.02,undetected,2,No,,,,0,0
75,94.131.101.65,ip_address,9,0,94,9.57,undetected,3,No,United States,New Jersey,Secaucus,40.7876,-74.06
76,lexisnex.team,domain,15,0,94,15.96,undetected,10,No,,,,0,0
77,d0add7a41b8c78ab0134752665278b9544d417b244a788c620c5da5215b515c0,file,20,0,76,26.32,Trojan:PowerShell/Obfuse.RP!MTB,2,No,,,,0,0
78,concur-sap.pro,domain,14,0,94,14.89,undetected,2,No,,,,0,0
79,176.32.39.71,ip_address,2,0,94,2.13,undetected,2,No,Russia,St.-Petersburg,St Petersburg,59.9417,30.3096
80,a-asana.com,domain,6,0,94,6.38,undetected,2,No,,,,0,0
81,de5f6cc6a3eaee870f438a43e1e262283124aa1cfa11ad395a05c4bff026c09f,file,17,0,76,22.37,,3,No,,,,0,0
82,f491d8b510ee283d24d40aa5233743d8cf834a164d0f681af8870dd1f35b734c,file,19,0,76,25,Trojan:PowerShell/Powdow.HBT!MTB,3,No,,,,0,0
83,a03badf094c46a97711da1494749962168472550f786dbea508cf6978252a2c8,file,17,0,76,22.37,,2,No,,,,0,0
84,0e71728e5e6a762923fc0372e2047e0d969bcc5efbf4f3010df2ff6576cab725,file,27,0,76,35.53,Trojan:PowerShell/Powdow.HBT!MTB,3,No,,,,0,0
85,2024lexisnexis.com,domain,2,0,94,2.13,undetected,2,No,,,,0,0
86,38.180.141.203,ip_address,7,1,94,7.45,undetected,2,No,United States,Florida,Tampa,27.9455,-82.4598
87,7-zip.shop,domain,8,0,94,8.51,undetected,2,No,,,,0,0
88,concur.cfd,domain,14,0,94,14.89,undetected,9,No,,,,0,0
89,45e0e240b09ec9b1bc488c2eede1cf19456db70398e9b3b0a35ff90e2d2430fe,file,0,0,76,0,,2,No,,,,0,0
90,lexis2024.pro,domain,12,0,94,12.77,undetected,10,No,,,,0,0
91,assana.vip,domain,7,1,94,7.45,undetected,2,No,,,,0,0
92,concur-cloud.net,domain,8,0,94,8.51,undetected,2,No,,,,0,0
93,ade52759c6aba1a0aa5b0dd3f779064c1021502bbe944dd704214522fc66707e,file,19,0,76,25,TrojanDropper:PowerShell/Doprimm.A,3,No,,,,0,0
94,6b999462e434b258980b1532f5d0c3661646f7bb9567aecdd748f6be10dcb740,file,22,0,76,28.95,Trojan:PowerShell/Powdow.HBT!MTB,2,No,,,,0,0
95,710e80fb64e08f20ab58c20ccdbc966f6e3b54511775e8ed99ff0bcf51690227,file,21,0,76,27.63,Trojan:PowerShell/Powdow.HBT!MTB,2,No,,,,0,0
96,concur.re,domain,12,1,94,12.77,undetected,16,No,,,,0,0
97,193.32.177.223,ip_address,4,1,94,4.26,undetected,2,No,United States,New Jersey,Secaucus,40.7895,-74.0565
98,law2024.top,domain,12,0,94,12.77,undetected,10,No,,,,0,0
99,meet-go.link,domain,15,1,94,15.96,undetected,3,No,,,,0,0
100,7zip2024.top,domain,8,3,94,8.51,undetected,2,No,,,,0,0
101,81e6adebca376dfbda0484ab4475d0ac76a1e86afe0930e45ab7137cfd378d38,file,27,0,76,35.53,Trojan:PowerShell/Powdow.HBT!MTB,2,No,,,,0,0
102,2024-7zip-10.top,domain,6,1,94,6.38,undetected,2,No,,,,0,0
103,5838f38e80657dd318bdbcfd1bdb87181e527f2125185ce95b43abd02badea86,file,20,0,76,26.32,,3,No,,,,0,0
