,IOC,Type,VT_Malicious,VT_Suspicious,Total Engines,Severity %,Microsoft Detection,OTX Pulses,In CIRCL Dataset,Country,State,City,Latitude,Longitude
8,8d8d21f2c28f3e44b7253583e04d11cf7e7453dab139c187201f80e70d89b579,file,27,0,76,35.53,,3,No,,,,0,0
10,902c9aba42378c40c6c9623bab2326cb8b98fa06cfc0ee0379349055137c9500,file,22,0,76,28.95,,6,No,,,,0,0
5,908ef89767bcd583edb96a8c12f3046b9db522cc7310e2c20799881d7bf75f9d,file,25,0,76,32.89,Trojan:Win32/Seheq!rfn,2,No,,,,0,0
88,9112b8623844774b056c842da3417f75c86bff115d5d15db2d6226c6ffd98895,file,23,0,76,30.26,,3,No,,,,0,0
33,91c2fbc594469839ad062e7cf359f2451fe8a14f041d8afe515ceab800c35133,file,17,0,76,22.37,,2,No,,,,0,0
15,94bb5b8cc0a2d01d4f65294c816299b97dd38bc7be8fc9089dc90cc969995528,file,20,0,76,26.32,,2,No,,,,0,0
54,952cac8ec226b4ed38a2631c220bb80409edbc0c9a0ac2793b879a259172282b,file,25,0,76,32.89,Trojan:PowerShell/Powdow.HBT!MTB,2,No,,,,0,0
92,96e20ac7d4b018b360672f3fd9e63d3429bb4dee3974951c70699f44c87278c2,file,1,0,76,1.32,TrojanDropper:PowerShell/Doprimm.A,2,No,,,,0,0
0,974285914961125d2963435c3dbe49b882cd88d95563b1ae3a62cd6240618c16,file,21,0,76,27.63,,2,No,,,,0,0
82,9a4e39fcb4033a9c849890085b67faea7265eaf56744e77aa8180b1834b7e14a,file,24,0,76,31.58,Trojan:PowerShell/Powdow.HBT!MTB,2,No,,,,0,0
77,a309753efca5242bbc9ca0e54a381ef2bac6625a0f591d79f8525e1ec196be4e,file,27,0,76,35.53,Trojan:PowerShell/Obfuse!MTB,3,No,,,,0,0
50,a38f1ccf9d3e29e39fcb01b53fc245eac2128c4219c6567891dba4f6529f98c1,file,16,0,76,21.05,Trojan:Win32/Alevaul!rfn,2,No,,,,0,0
86,a67d73996a5479312f4a4ea4fccdde293695359aa6b6da06c01248066a7131f9,file,23,0,76,30.26,Trojan:PowerShell/Powdow.HBT!MTB,2,No,,,,0,0
45,a98d6df438ba2615107642c7c6da104de1c9aefdb0f184aead763ae3057c11e9,file,16,0,76,21.05,,2,No,,,,0,0
55,aadf323d8052da80c761ab9d05717603804405ee33e624926009a30d857d6d1a,file,28,0,76,36.84,Trojan:PowerShell/Powdow.HBT!MTB,3,No,,,,0,0
97,abd4263c97ab33b22f67e581ebb09ec7b98e4084dd32a7eca6502d3737715769,file,4,0,76,5.26,TrojanDropper:PowerShell/Doprimm.A,2,No,,,,0,0
25,af3530b841049f90b9f5c818910f1877ef8f89bea0454fe72ada397e9bef1565,file,13,0,76,17.11,,2,No,,,,0,0
18,b3f46a63817a2076e3de49957d5801eb8ede9dc1498bdab702fcc6f8cccf0e61,file,23,0,76,30.26,,1,No,,,,0,0
63,b417396efb07943d380182d610da313607308a74fc0dc77318407a5248cbab6e,file,31,0,76,40.79,Trojan:PowerShell/Malgent!MSR,2,No,,,,0,0
85,b7b7516063052b84f3d240b66630b01d0c098376dba531c5ae9dbcaa1a099820,file,25,0,76,32.89,Trojan:Win32/Seheq!rfn,2,No,,,,0,0
76,bc3f10302a62a5e100a2a31e50a9c32a554d74015f17be2299273d143d2b42de,file,3,0,76,3.95,,2,No,,,,0,0
107,bdd89826ab8d3e3c03833b1ea8e4b0a34c80f13bfa5882e5b82f896cec41d141,file,30,0,76,39.47,Trojan:Win32/Casdet!rfn,3,No,,,,0,0
90,bfc1064d3624c7bc68ef6b8ce2b0f40229d5981472c8b443c58f38bf3f461b2a,file,20,0,76,26.32,TrojanDropper:PowerShell/Doprimm!rfn,2,No,,,,0,0
11,c220f9ba0ee8445ab6d36f19d7cf24fd6df72eea41b9ba40f585451ee24c0f6d,file,27,0,76,35.53,Trojan:PowerShell/Powdow.HBT!MTB,2,No,,,,0,0
34,c2f1c765b03b4ae0c08455c2b5e917ba8564ad945c3580a1e622169aad67807a,file,24,0,76,31.58,,3,No,,,,0,0
94,c399fe7ba04828aeadd881d7daa17dc0e3b880e95cc1aa2295c510f6bd8aa1d4,file,9,0,76,11.84,,2,No,,,,0,0
40,c5fa7fd1ff45c5cfaec851795f4c2e15326046f3022778bdf6f37b7b1dd75f5c,file,11,0,76,14.47,Trojan:PowerShell/Obfuse!rfn,2,No,,,,0,0
28,c8d9270a38a2e6e0659b6b9aab7543add0d1bc521afb51f7dcf68c7426a8d57e,file,21,0,76,27.63,,2,No,,,,0,0
30,c902a206da5c3e1a4b8b8ba9f0e63f314e8cadcf044c25f729176b29c19bcbbb,file,32,0,76,42.11,Trojan:Win32/Casdet!rfn,2,No,,,,0,0
80,d6fce7c094994b19d96c9ebcccc07b9fb5efda2e4e1da352d9e0e031f0457c5e,file,7,0,76,9.21,,2,No,,,,0,0
44,da43703c733a1b0af183fdb61877b5c15651c21ffcc3a49c6addc83d76c10329,file,24,0,76,31.58,,2,No,,,,0,0
