,IOC,Type,Total Engines,Malicious,Suspicious,Microsoft Detection,Flagged by Microsoft,In CIRCL Dataset,Severity Percentage
50,84b6141491bfc6277b4d2446ae5f97858f3b102804dc525239c02f12a889650c,file,76,58,0,Backdoor:MSIL/Quasar!atmn,Yes,No,76.32
51,8ad7d50075f254b758085711870af8f7172346526662fd1174e48355f776a119,file,76,48,0,Program:Win32/Wacapew.C!ml,Yes,No,63.16
52,8efa4b4e70869e4c2c7119e5c1518c8166141e6376d7d95768b932fe083bc1ae,file,76,23,0,Trojan:VBS/AsyncRAT!MTB,Yes,No,30.26
53,8fd804d664127a9fe36dae01487103deaa045859a0d8c4d801dd476ccbc238e3,file,76,61,0,Backdoor:MSIL/Quasar!atmn,Yes,No,80.26
54,9299eddf62904e0b0c32dca0aa811bd686b3d2a0f3c942617b2c5f9c725e110c,file,76,58,0,Trojan:MSIL/Malgent!MSR,Yes,No,76.32
55,9367d8520bf58974c905eac5bff5b8587512858b80c501570c9f667fd66489d5,file,76,62,0,Backdoor:MSIL/Quasar!atmn,Yes,No,81.58
56,95466b79ae22a8377ba626f5ba91dec6836fa5eff7990b79b9bcf99ea418c173,file,76,27,0,Trojan:Win32/Wacatac.B!ml,Yes,No,35.53
57,9561297904b4f8612f2f869397741bbeeb5f0b60948e292057cf000978f1bcd2,file,76,49,0,Trojan:Win32/Leonem!rfn,Yes,No,64.47
58,a3861f46b700880428221f28901d22f0758d8fd4b9e102d214547f0aa51c41f5,file,76,48,0,Trojan:Win32/Wacatac.B!ml,Yes,No,63.16
59,a52b33c2572c422ec71d9814de6223b9b54bd71f0fad14c0df3e86676fc913cc,file,75,58,0,Trojan:MSIL/PhemedroneStealer.NIT!MTB,Yes,No,77.33
60,a6d80c48e2d6616f9731dde9b60ece9ebc733e86e0879a6f193b9b63ad4177b8,file,76,58,0,Trojan:Win32/LummaStealer.DSK4!MTB,Yes,No,76.32
61,b34734b85116c26310ca8bfe1347577c574ab2a7da4d5a3de4df86a933a726b5,file,76,57,0,Trojan:MSIL/QuasarRAT.DB!MTB,Yes,No,75
62,b387dca776ec20a5f7c8cc1df2a473f7b76520b6a33e2993850a21999cf612b3,file,76,56,0,Trojan:MSIL/FormBook!rfn,Yes,No,73.68
63,c2205542e3243c4afb374c0245ef14b60b70dc3b16e776797ab4c8b861c683bc,file,76,61,0,Backdoor:MSIL/Quasar!atmn,Yes,No,80.26
64,c48de72e3d33017a1573ea1a470aa3098a8eb3a533f08127be53a44698fb8582,file,76,5,0,Trojan:PowerShell/AsyncRAT!MTB,Yes,No,6.58
65,cdc2106e6e47fe9e06e5c1b655b8428706cf3db33e31b854ddf3e1269d9c7978,file,76,23,0,Trojan:VBS/AsyncRAT!MTB,Yes,No,30.26
66,cebf7847f254370f26e607a7a2c6472a218db9e373271a35b0a3391345cae3a4,file,76,61,0,Backdoor:MSIL/Quasar!atmn,Yes,No,80.26
67,d1920faf5155b3b2b4185ec8f3f533650d22cdae5bc26f3206e9b976610deda3,file,76,61,0,Backdoor:MSIL/Quasar!atmn,Yes,No,80.26
68,da6135c3ae0dc3caeed1f8669268ad5d86e901e22713a1dd4fa5af3fb90a96fe,file,76,28,0,Trojan:Win32/Znyonm!rfn,Yes,No,36.84
69,e1cd02a8df5e325a4738e0a68464807cfca08f8d71fec828a0b6a7a12eee07a2,file,76,25,0,Trojan:Win32/Egairtigado!rfn,Yes,No,32.89
